claim_id,policy_number,claim_amount,age_of_driver,gender,marital_status,annual_income,education_level,occupation,vehicle_age,vehicle_category,accident_site,witness_present,police_report,past_claims,claim_description,fraud_reported
CLM_000001,POL_770487,6279.66,72,M,Single,58153.0,PhD,Student,11,Compact,City,1,1,1,"Minor collision in parking garage, exchanged insurance information",0
CLM_000002,POL_216739,3691.6854781332536,61,M,Widowed,60575.0,High School,Doctor,17,Luxury,City,1,0,2,Expensive medical treatment sought immediately after minor fender bender,1
CLM_000003,POL_126225,7875.66,66,F,Single,28851.0,Master,Student,12,Luxury,Parking Lot,0,1,1,"Tree fell on parked car during windstorm, roof damage",0
CLM_000004,POL_877572,29276.63,57,M,Divorced,35004.0,PhD,Other,4,Sports,Rural,1,1,0,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000005,POL_388389,2098.06,28,M,Divorced,79717.0,High School,Engineer,11,Large,Rural,0,1,1,"Collision with deer on rural highway, front end damage",0
CLM_000006,POL_356787,4836.881887037403,78,F,Divorced,45589.0,Bachelor,Teacher,1,Large,City,1,0,3,Expensive medical treatment sought immediately after minor fender bender,1
CLM_000007,POL_334053,31850.85,20,F,Divorced,56120.0,Master,Other,4,Compact,Parking Lot,1,1,0,"Minor collision in parking garage, exchanged insurance information",0
CLM_000008,POL_246316,9425.29,76,F,Single,71093.0,Bachelor,Retired,6,Luxury,Highway,0,1,1,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000009,POL_872246,1474.08,23,F,Divorced,59269.0,Bachelor,Engineer,11,Sports,City,1,1,2,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000010,POL_207473,6726.7,26,F,Single,60930.0,PhD,Retired,15,Compact,Rural,0,0,1,Theft of vehicle contents including electronics and personal items,0
CLM_000011,POL_809570,1487.53,23,F,Widowed,67892.0,PhD,Student,7,Large,Rural,1,0,0,"Collision with deer on rural highway, front end damage",0
CLM_000012,POL_876646,1482.38,26,F,Divorced,20000.0,PhD,Teacher,8,Luxury,Rural,1,0,1,"Tree fell on parked car during windstorm, roof damage",0
CLM_000013,POL_671858,4285.29,56,M,Married,40201.0,Master,Teacher,14,Sports,Highway,1,1,3,Hail damage to vehicle roof and windows during severe storm,0
CLM_000014,POL_191161,169.03,48,F,Divorced,59372.0,Bachelor,Student,4,Mid-size,Rural,0,1,0,Theft of vehicle contents including electronics and personal items,0
CLM_000015,POL_719176,224.22,49,F,Divorced,77753.0,Master,Student,12,Luxury,Highway,1,1,2,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000016,POL_542417,3003.0754000340626,58,F,Single,51322.0,PhD,Doctor,4,Sports,Highway,1,1,5,"Suspicious timing of accident report, filed weeks after alleged incident",1
CLM_000017,POL_133326,652.46,67,M,Divorced,33106.0,Bachelor,Student,10,Compact,Highway,1,1,2,Theft of vehicle contents including electronics and personal items,0
CLM_000018,POL_131244,4776.06,29,M,Married,33638.0,Master,Business,9,Mid-size,City,0,1,0,"Tree fell on parked car during windstorm, roof damage",0
CLM_000019,POL_198246,1585.039431536803,25,F,Single,67677.0,Master,Student,19,Sports,Highway,1,1,5,"Vehicle completely destroyed in minor collision, claiming total loss",1
CLM_000020,POL_329258,358.36,25,F,Single,45645.0,High School,Business,12,Sports,Parking Lot,1,0,0,"Tree fell on parked car during windstorm, roof damage",0
CLM_000021,POL_343962,26862.14,67,F,Widowed,49856.0,Master,Student,8,Large,Rural,0,1,2,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000022,POL_629903,2124.59,45,M,Widowed,62301.0,PhD,Doctor,13,Luxury,City,1,1,0,Hail damage to vehicle roof and windows during severe storm,0
CLM_000023,POL_731262,3298.73,79,M,Divorced,20000.0,Master,Business,17,Large,Rural,1,1,3,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000024,POL_127824,351.73,37,F,Widowed,90007.0,Bachelor,Engineer,14,Mid-size,Highway,1,1,7,"Tree fell on parked car during windstorm, roof damage",0
CLM_000025,POL_688508,1317.41,79,M,Widowed,35379.0,Master,Business,9,Sports,City,1,1,2,"Door ding in parking lot, small dent and paint scratch",0
CLM_000026,POL_308496,3520.59,64,F,Widowed,54839.0,High School,Other,6,Large,Parking Lot,1,1,3,"Vandalism to parked vehicle, broken windows and scratched paint",0
